brand,fuel,owner
Maruti,Diesel,First Owner
Skoda,Diesel,Second Owner
Honda,Petrol,Third Owner
Hyundai,Diesel,First Owner
Maruti,Petrol,First Owner
Hyundai,Petrol,First Owner
Maruti,LPG,First Owner
Maruti,Petrol,Second Owner
Toyota,Diesel,First Owner
Ford,Diesel,First Owner
Renault,Diesel,Second Owner
Maruti,Petrol,Second Owner
Maruti,Diesel,Second Owner
Maruti,Petrol,Second Owner
Maruti,Petrol,Second Owner
Mahindra,Petrol,First Owner
Maruti,Diesel,Second Owner
Hyundai,Diesel,Second Owner
Maruti,Petrol,Second Owner
Hyundai,Diesel,First Owner
Mahindra,Diesel,Second Owner
Honda,Diesel,First Owner
Maruti,Diesel,First Owner
Maruti,Diesel,First Owner
Tata,Petrol,First Owner
Maruti,Petrol,First Owner
Maruti,Petrol,First Owner
Chevrolet,Diesel,First Owner
Maruti,Petrol,First Owner
Maruti,Petrol,First Owner
Maruti,Diesel,First Owner
Fiat,Petrol,Second Owner
Maruti,Petrol,Second Owner
Hyundai,Petrol,First Owner
Maruti,Diesel,First Owner
Maruti,CNG,Second Owner
Maruti,Petrol,First Owner
Hyundai,Petrol,First Owner
Datsun,Petrol,First Owner
Tata,Diesel,Second Owner
Maruti,Petrol,First Owner
Jeep,Petrol,First Owner
Honda,Petrol,First Owner
Honda,Petrol,First Owner
Maruti,Petrol,First Owner
Maruti,Diesel,First Owner
Maruti,Petrol,First Owner
Toyota,Diesel,First Owner
Toyota,Diesel,First Owner
Mercedes-Benz,Diesel,Second Owner
Honda,Diesel,First Owner
Mitsubishi,Diesel,First Owner
Honda,Diesel,First Owner
Maruti,Petrol,First Owner
Honda,Diesel,First Owner
Toyota,Diesel,Second Owner
Toyota,Diesel,First Owner
Audi,Diesel,Second Owner
Toyota,Petrol,First Owner
Audi,Diesel,First Owner
Mercedes-Benz,Diesel,First Owner
Tata,Diesel,First Owner
Hyundai,Petrol,Third Owner
Hyundai,Diesel,First Owner
Maruti,Diesel,Second Owner
Ford,Petrol,Third Owner
Maruti,Petrol,First Owner
Volkswagen,Diesel,First Owner
Honda,Diesel,First Owner
Maruti,Petrol,First Owner
Volkswagen,Diesel,First Owner
Maruti,Diesel,First Owner
Maruti,Diesel,First Owner
Hyundai,Petrol,Second Owner
Maruti,Diesel,First Owner
Toyota,Diesel,Second Owner
Maruti,Diesel,Second Owner
Maruti,Petrol,Second Owner
Tata,Diesel,First Owner
Volkswagen,Diesel,First Owner
Toyota,Diesel,First Owner
Ford,Diesel,First Owner
BMW,Petrol,Second Owner
Maruti,Petrol,First Owner
Datsun,Petrol,First Owner
Maruti,Petrol,First Owner
Maruti,Petrol,First Owner
Maruti,Diesel,First Owner
Hyundai,Petrol,First Owner
Maruti,Petrol,First Owner
Maruti,LPG,First Owner
Volkswagen,Petrol,First Owner
Hyundai,Petrol,Second Owner
Volkswagen,Petrol,Second Owner
Maruti,Petrol,First Owner
Hyundai,Petrol,First Owner
Maruti,Diesel,First Owner
Hyundai,Petrol,First Owner
Maruti,Petrol,Third Owner
Hyundai,Diesel,First Owner
Maruti,Petrol,Second Owner
Tata,Diesel,Second Owner
Maruti,Petrol,First Owner
Maruti,Petrol,Third Owner
Maruti,Petrol,First Owner
Mahindra,Diesel,Second Owner
Ford,Petrol,Second Owner
Hyundai,Petrol,First Owner
Volkswagen,Petrol,First Owner
Tata,Petrol,First Owner
Mahindra,Diesel,First Owner
Tata,Diesel,First Owner
Hyundai,Diesel,Second Owner
Hyundai,Diesel,First Owner
Toyota,Petrol,Second Owner
Maruti,Petrol,First Owner
Maruti,Diesel,First Owner
Maruti,Petrol,First Owner
Maruti,Petrol,First Owner
Maruti,Diesel,Second Owner
Nissan,Diesel,Third Owner
Hyundai,Diesel,First Owner
Ford,Diesel,First Owner
Maruti,Diesel,Fourth & Above Owner
Renault,Petrol,First Owner
Maruti,Petrol,Second Owner
Maruti,Petrol,Fourth & Above Owner
Maruti,Diesel,Second Owner
Hyundai,Petrol,Second Owner
Maruti,Diesel,Second Owner
Honda,Petrol,First Owner
Audi,Diesel,First Owner
Lexus,Petrol,First Owner
Jaguar,Diesel,First Owner
Jeep,Petrol,First Owner
Land,Diesel,First Owner
Mercedes-Benz,Diesel,First Owner
BMW,Diesel,First Owner
BMW,Diesel,First Owner
BMW,Diesel,First Owner
Skoda,Petrol,First Owner
Mercedes-Benz,Diesel,First Owner
MG,Petrol,First Owner
Honda,Petrol,First Owner
Toyota,Petrol,First Owner
Volvo,Diesel,First Owner
Audi,Diesel,First Owner
Maruti,Diesel,First Owner
Mercedes-Benz,Diesel,First Owner
BMW,Petrol,Second Owner
Hyundai,Petrol,First Owner
Jaguar,Diesel,First Owner
Tata,Petrol,First Owner
Volkswagen,Petrol,First Owner
Hyundai,Petrol,First Owner
Skoda,Petrol,First Owner
Mercedes-Benz,Petrol,First Owner
Maruti,Petrol,First Owner
Mercedes-Benz,Petrol,First Owner
Honda,Petrol,First Owner
Toyota,Petrol,First Owner
Maruti,Petrol,First Owner
Maruti,Petrol,First Owner
Toyota,Diesel,Second Owner
Tata,Diesel,First Owner
BMW,Diesel,First Owner
Toyota,Petrol,First Owner
BMW,Diesel,First Owner
Toyota,Petrol,First Owner
Maruti,Petrol,First Owner
Volvo,Petrol,First Owner
Volkswagen,Diesel,Second Owner
Ford,Petrol,First Owner
Ford,Diesel,First Owner
Maruti,Petrol,First Owner
Maruti,Petrol,Second Owner
Hyundai,Petrol,Second Owner
Maruti,Petrol,Second Owner
Maruti,Diesel,First Owner
Hyundai,Petrol,First Owner
Volkswagen,Petrol,First Owner
Hyundai,Petrol,Second Owner
Maruti,Petrol,First Owner
Hyundai,Petrol,Second Owner
Honda,Petrol,Second Owner
Toyota,Diesel,First Owner
Daewoo,Petrol,First Owner
Toyota,Diesel,Second Owner
Mahindra,Petrol,Second Owner
Tata,Diesel,First Owner
Honda,Petrol,Second Owner
Maruti,Petrol,First Owner
Maruti,Petrol,Second Owner
Hyundai,Petrol,Third Owner
Maruti,Petrol,Second Owner
Hyundai,Petrol,First Owner
Hyundai,Petrol,First Owner
Maruti,Diesel,First Owner
Tata,Petrol,First Owner
Maruti,Diesel,First Owner
Toyota,Diesel,First Owner
Honda,Petrol,First Owner
Honda,Petrol,Second Owner
Maruti,CNG,First Owner
Maruti,Petrol,First Owner
Hyundai,Petrol,First Owner
Maruti,Petrol,Second Owner
Maruti,Petrol,First Owner
Maruti,Petrol,First Owner
Maruti,Petrol,First Owner
Maruti,Petrol,First Owner
Maruti,Petrol,First Owner
Tata,Diesel,First Owner
Hyundai,Petrol,Second Owner
Maruti,Diesel,First Owner
Maruti,Petrol,First Owner
Toyota,Petrol,First Owner
Honda,Petrol,First Owner
Maruti,Petrol,First Owner
Tata,Diesel,First Owner
Maruti,Petrol,Second Owner
Renault,Petrol,First Owner
Datsun,Petrol,Second Owner
Maruti,Diesel,First Owner
Hyundai,Petrol,First Owner
Maruti,Petrol,First Owner
Hyundai,Petrol,Second Owner
Tata,Petrol,First Owner
Maruti,Petrol,Second Owner
Nissan,Petrol,First Owner
Ford,Petrol,First Owner
Nissan,Petrol,First Owner
Maruti,Petrol,First Owner
Mahindra,Diesel,First Owner
Mahindra,Diesel,Second Owner
Maruti,Diesel,Second Owner
Hyundai,Diesel,First Owner
Renault,Petrol,First Owner
Maruti,Diesel,First Owner
Mahindra,Diesel,First Owner
Maruti,Petrol,First Owner
Hyundai,Petrol,First Owner
Hyundai,Petrol,Second Owner
Mahindra,Diesel,First Owner
Toyota,Diesel,First Owner
Maruti,Diesel,First Owner
Honda,Petrol,First Owner
Hyundai,Petrol,Second Owner
Maruti,Diesel,Second Owner
Maruti,Diesel,First Owner
Hyundai,Petrol,Second Owner
Hyundai,Petrol,Second Owner
Tata,Diesel,Second Owner
Maruti,Petrol,First Owner
Tata,Diesel,First Owner
Hyundai,Diesel,First Owner
Maruti,Diesel,First Owner
Tata,Diesel,First Owner
Mahindra,Diesel,First Owner
Hyundai,Diesel,First Owner
Maruti,Diesel,First Owner
Maruti,Diesel,First Owner
Honda,Diesel,Second Owner
Maruti,Diesel,First Owner
